record_id,airport_name,altitude_bin,aircraft_model,wildlife_number_struck_actual,effect_impact_to_flight,flight_date,effect_indicated_damage,aircraft_airline,origin_state,phase_of_flight,conditions_precipitation,conditions_sky,wildlife_species,pilot_warned_of_wildlife,total_cost,feet_above_ground
225649,DENVER INTL AIRPORT,< 1000 ft,DHC8 DASH 8,1,none,2004-10-13,No damage,MESA AIRLINES,Colorado,Approach,none,Some Cloud,Unknown bird - medium,N,0,600.0
225994,ORLANDO INTL,< 1000 ft,A-320,1,none,2004-10-13,No damage,AMERICA WEST AIRLINES,Florida,Approach,none,Some Cloud,Unknown bird - medium,Y,0,200.0
229550,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,A-321,1,none,2004-10-13,No damage,US AIRWAYS,North Carolina,Approach,none,Overcast,Unknown bird - small,Y,0,400.0
228165,TAMPA INTL,> 1000 ft,B-737-300,1,none,2004-10-13,No damage,SOUTHWEST AIRLINES,Florida,Approach,none,No Cloud,Unknown bird - medium,N,0,2600.0
229912,VALDOSTA REGIONAL,> 1000 ft,C-206 STATIO,1,none,2004-10-13,Caused damage,BUSINESS,Georgia,Descent,none,No Cloud,Unknown bird - medium,N,0,1800.0
225889,GRAND FORKS INTL,< 1000 ft,AVRO RJ 85,1,Other,2004-10-13,No damage,MESABA AIRLINES,North Dakota,Landing Roll,none,Overcast,Unknown bird - medium,N,0,0.0
235283,MANCHESTER AIRPORT,> 1000 ft,C-172,1,none,2004-10-13,No damage,BUSINESS,New Hampshire,Climb,none,No Cloud,Unknown bird - small,N,0,3000.0
233449,SACRAMENTO INTL,< 1000 ft,B-737-300,1,none,2004-10-14,No damage,SOUTHWEST AIRLINES,California,Landing Roll,none,Overcast,Unknown bird - small,Y,0,0.0
228729,ORLANDO INTL,> 1000 ft,B-737-300,1,none,2004-10-14,No damage,SOUTHWEST AIRLINES,Florida,Descent,none,No Cloud,Unknown bird - small,N,0,4000.0
227427,MIAMI INTL,> 1000 ft,B-757-200,1,none,2004-10-14,No damage,AMERICAN AIRLINES,Florida,Climb,none,Some Cloud,Unknown bird - small,N,0,5000.0
229493,SAN DIEGO INTL,> 1000 ft,B-737-300,1,none,2004-10-14,No damage,SOUTHWEST AIRLINES,California,Approach,none,Overcast,Unknown bird - small,N,0,4000.0
