record_id,airport_name,altitude_bin,aircraft_model,wildlife_number_struck_actual,effect_impact_to_flight,flight_date,effect_indicated_damage,aircraft_airline,origin_state,phase_of_flight,conditions_precipitation,conditions_sky,wildlife_species,pilot_warned_of_wildlife,total_cost,feet_above_ground
201909,MYRTLE BEACH INTL,> 1000 ft,PA-28,1,none,2000-01-12,Caused damage,BUSINESS,South Carolina,Approach,none,No Cloud,Unknown bird - medium,N,0,1300.0
200939,JACKSON EVERS INTL,< 1000 ft,C-340,1,none,2000-01-13,Caused damage,BUSINESS,Mississippi,Approach,none,No Cloud,Unknown bird - medium,N,9488,1000.0
200070,DAYTONA BEACH INTL,< 1000 ft,MOONEY M20,1,none,2000-01-13,No damage,BUSINESS,Florida,Approach,none,No Cloud,Unknown bird - small,Y,0,3.0
208428,RALEIGH-DURHAM INTL,< 1000 ft,SAAB-340,1,none,2000-01-14,No damage,AMERICAN EAGLE AIRLINES,North Carolina,Approach,none,No Cloud,Unknown bird - small,N,0,10.0
202975,SARASOTA-BRADENTON,< 1000 ft,B-737-300,1,none,2000-01-16,No damage,US AIRWAYS,Florida,Climb,none,No Cloud,Unknown bird - medium,N,0,40.0
209665,FORT LAUDERDALE EXECUTIVE ARPT,> 1000 ft,PA-44 SEMINOLE,1,Precautionary Landing,2000-01-17,No damage,BUSINESS,Florida,Climb,none,No Cloud,Unknown bird - medium,Y,0,2000.0
201645,JACKSONVILLE INTL,< 1000 ft,B-737,1,none,2000-01-17,No damage,AIRTRAN AIRWAYS,Florida,Approach,none,Overcast,Unknown bird - small,N,0,10.0
200745,SAN FRANCISCO INTL ARPT,< 1000 ft,EMB-120,1,none,2000-01-19,No damage,SKYWEST AIRLINES,California,Landing Roll,none,Overcast,Unknown bird - small,N,0,0.0
201745,IGOR I SIKORSKY MEMORIAL,< 1000 ft,GULFAERO IV,1,none,2000-01-19,No damage,BUSINESS,Connecticut,Climb,none,No Cloud,Peregrine falcon,N,0,100.0
207719,SKAGIT REGIONAL,< 1000 ft,C-208,1,none,2000-01-21,Caused damage,EMPIRE AIRLINES,Washington,Climb,none,Overcast,Mallard,N,134,400.0
201080,TUCSON INTL,< 1000 ft,B-737,1,none,2000-01-21,Caused damage,AMERICA WEST AIRLINES,Arizona,Approach,none,Some Cloud,Rock pigeon,N,0,300.0
201546,TED STEVENS ANCHORAGE INTL,< 1000 ft,C-182 SKYLAN,1,none,2000-01-22,No damage,PRIVATELY OWNED,Alaska,Approach,none,Some Cloud,Unknown bird - small,N,0,50.0
5239,EGLIN AFB/NW FLORIDA REGIONAL ARPT,< 1000 ft,F-15E,1,Precautionary Landing,2000-01-25,Caused damage,MILITARY,Florida,Climb,none,No Cloud,Turkey vulture,Y,32827,400.0
200601,KLEBERG COUNTY ARPT,< 1000 ft,C-560,1,none,2000-01-26,No damage,EXECUTIVE JET AVIATION,Texas,Approach,none,Overcast,Unknown bird - small,N,0,50.0
204009,SAN ANTONIO INTL,< 1000 ft,B-727-200,1,none,2000-01-26,No damage,DELTA AIR LINES,Texas,Approach,none,Overcast,White-winged dove,N,0,100.0
205934,JOHN WAYNE AIRPORT,< 1000 ft,B-737-700,1,none,2000-01-26,Caused damage,ALASKA AIRLINES,California,Approach,none,No Cloud,Red-tailed hawk,N,2005,100.0
201385,SIMON BOLIVAR INTL,< 1000 ft,B-757-200,1,none,2000-01-27,No damage,AMERICAN AIRLINES,California,Approach,none,Some Cloud,Unknown bird - small,N,0,200.0
204564,MERRILL FIELD ARPT,< 1000 ft,C-152,1,none,2000-01-29,No damage,PRIVATELY OWNED,Alaska,Climb,Snow,Overcast,Unknown bird - small,N,0,300.0
203478,MINETA SAN JOSE INTL,< 1000 ft,B-737-200,1,none,2000-01-30,No damage,AMERICA WEST AIRLINES,California,Approach,none,Some Cloud,Unknown bird - large,N,0,200.0
202260,PORT COLUMBUS INTL,< 1000 ft,A-320,1,none,2000-01-31,No damage,NORTHWEST AIRLINES,Ohio,Approach,none,No Cloud,Unknown bird - small,N,0,200.0
204105,SACRAMENTO INTL,> 1000 ft,FOKKER F28 MK 4000,1,none,2000-01-31,Caused damage,HORIZON AIR,California,Climb,Rain,Overcast,Unknown bird - medium,Y,0,1500.0
203082,SACRAMENTO INTL,> 1000 ft,B-737-500,1,none,2000-02-02,Caused damage,SOUTHWEST AIRLINES,California,Approach,none,No Cloud,Unknown bird - medium,Y,1336,3000.0
201753,BRACKETT FIELD ARPT,< 1000 ft,C-152,1,none,2000-02-03,No damage,PRIVATELY OWNED,California,Approach,none,No Cloud,Unknown bird - small,Y,0,400.0
203124,GRAND CANYON NATIONAL,< 1000 ft,DHC6,1,none,2000-02-03,Caused damage,BUSINESS,Arizona,Climb,none,No Cloud,Common raven,N,33275,200.0
200731,SANTA BARBARA MUNICIPAL,< 1000 ft,EMB-120,1,Aborted Take-off,2000-02-04,No damage,SKYWEST AIRLINES,California,Take-off run,none,Overcast,Unknown bird - large,N,0,0.0
200751,MINETA SAN JOSE INTL,< 1000 ft,MD-80,1,none,2000-02-04,No damage,AMERICAN AIRLINES,California,Climb,none,Some Cloud,Unknown bird - small,N,0,50.0
201248,PHOENIX SKY HARBOR,< 1000 ft,A-319,1,none,2000-02-05,No damage,AMERICA WEST AIRLINES,Arizona,Climb,none,No Cloud,Unknown bird - small,N,0,300.0
201575,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,1,none,2000-02-05,No damage,AMERICAN AIRLINES,Texas,Approach,none,No Cloud,Rock pigeon,N,0,5.0
201249,LA ROMANA INTL,< 1000 ft,B-727,1,none,2000-02-05,No damage,AMERICAN AIRLINES,California,Climb,none,No Cloud,Unknown bird - small,Y,0,100.0
206393,ORLANDO INTL,> 1000 ft,B-737-300,1,none,2000-02-05,No damage,SOUTHWEST AIRLINES,Florida,Climb,none,Some Cloud,Unknown bird - medium,N,0,7000.0
202645,PORT COLUMBUS INTL,< 1000 ft,A-320,1,none,2000-02-06,No damage,AMERICA WEST AIRLINES,Ohio,Approach,none,Overcast,Unknown bird - small,N,0,10.0
202970,LUIS MUNOZ MARIN INTL -SAN JUAN,< 1000 ft,ATR-42,1,Precautionary Landing,2000-02-07,No damage,AMERICAN EAGLE AIRLINES,Puerto Rico,Climb,none,Some Cloud,Unknown bird - medium,N,0,400.0
206363,MANCHESTER AIRPORT,< 1000 ft,EMB-145,1,none,2000-02-08,No damage,EXPRESSJET CONTINENTAL EXPRS,New Hampshire,Landing Roll,none,No Cloud,Unknown bird - small,N,0,0.0
203839,HONOLULU INTL ARPT,< 1000 ft,B-737,1,none,2000-02-08,No damage,ALOHA AIRLINES,Hawaii,Landing Roll,none,Some Cloud,Pacific golden-plover,N,0,0.0
208321,TAMPA INTL,< 1000 ft,B-757-200,1,none,2000-02-08,No damage,DELTA AIR LINES,Florida,Climb,none,Some Cloud,Unknown bird - medium,N,0,300.0
200345,NASHVILLE INTL,< 1000 ft,B-737,1,none,2000-02-09,No damage,SOUTHWEST AIRLINES,Tennessee,Approach,none,No Cloud,Unknown bird - small,Y,0,100.0
203896,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,CL-RJ100/200,1,Precautionary Landing,2000-02-09,No damage,COMAIR AIRLINES,Kentucky,Climb,none,Some Cloud,Unknown bird - medium,Y,0,30.0
200409,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,B-757-200,1,none,2000-02-10,No damage,AIR TRANSAT,Florida,Climb,none,Some Cloud,Tree swallow,Y,0,20.0
203939,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-83,1,none,2000-02-11,Caused damage,AMERICAN AIRLINES,Texas,Climb,none,No Cloud,Unknown bird - large,Y,0,800.0
200642,TALLAHASSEE REGIONAL,< 1000 ft,CL-RJ100/200,1,none,2000-02-12,No damage,COMAIR AIRLINES,Florida,Approach,none,No Cloud,Unknown bird - medium,Y,0,300.0
205448,BALTIMORE WASH INTL,< 1000 ft,A-319,1,none,2000-02-12,No damage,US AIRWAYS,Maryland,Take-off run,none,No Cloud,Unknown bird - medium,N,0,0.0
204553,NASHVILLE INTL,< 1000 ft,B-737-300,1,none,2000-02-12,No damage,US AIRWAYS,Tennessee,Climb,Rain,Overcast,Unknown bird - small,Y,0,100.0
200459,WILL ROGERS WORLD ARPT,< 1000 ft,ATR-72,1,none,2000-02-13,No damage,AMERICAN EAGLE AIRLINES,Oklahoma,Approach,none,Some Cloud,Western meadowlark,N,0,10.0
200458,EPPLEY AIRFIELD,< 1000 ft,MD-80,1,none,2000-02-13,No damage,AMERICAN AIRLINES,Nebraska,Landing Roll,Snow,Overcast,Unknown bird - small,N,0,0.0
202082,PHILADELPHIA INTL,< 1000 ft,B-737-400,1,none,2000-02-14,No damage,US AIRWAYS,Pennsylvania,Climb,Fog,Overcast,Unknown bird - small,N,0,100.0
200487,WASHINGTON DULLES INTL ARPT,< 1000 ft,B-737,1,none,2000-02-15,No damage,US AIRWAYS,DC,Landing Roll,none,Some Cloud,Red-tailed hawk,Y,0,0.0
201452,REID-HILLVIEW ARPT OF SANTA CLARA CNTY,< 1000 ft,C-152,1,none,2000-02-16,Caused damage,PRIVATELY OWNED,California,Climb,none,Some Cloud,Canada goose,Y,0,3.0
200204,BRACKETT FIELD ARPT,> 1000 ft,C-152,1,none,2000-02-17,No damage,BUSINESS,California,Climb,none,Some Cloud,Unknown bird - small,Y,0,1600.0
202332,MORRISTOWN MUNICIPAL ARPT,< 1000 ft,C-650,1,none,2000-02-18,Caused damage,BUSINESS,New Jersey,Landing Roll,Rain,Overcast,White-tailed deer,Y,136309,0.0
201235,CHICAGO MIDWAY INTL ARPT,< 1000 ft,B-737-500,1,Precautionary Landing,2000-02-19,Caused damage,SOUTHWEST AIRLINES,Illinois,Climb,none,Overcast,Red-tailed hawk,N,0,10.0
206098,WASHINGTON DULLES INTL ARPT,< 1000 ft,B-737-300,1,none,2000-02-19,No damage,UNITED AIRLINES,DC,Approach,Fog,Overcast,Ring-billed gull,Y,0,50.0
201830,WASHINGTON DULLES INTL ARPT,< 1000 ft,BA-31 JETSTR,1,none,2000-02-20,No damage,ATLANTIC COAST AIRLINES,DC,Approach,none,No Cloud,Unknown bird - medium,Y,0,800.0
201811,ATLANTA INTL,> 1000 ft,B-717-200,1,none,2000-02-20,No damage,AIRTRAN AIRWAYS,Georgia,Approach,none,No Cloud,Snow goose,N,0,1200.0
203923,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,B-737-400,1,none,2000-02-21,Caused damage,US AIRWAYS,North Carolina,Climb,none,No Cloud,Unknown bird - medium,N,0,75.0
202164,PHOENIX SKY HARBOR,< 1000 ft,B-737-300,1,none,2000-02-23,No damage,AMERICA WEST AIRLINES,Arizona,Approach,none,Some Cloud,Unknown bird - small,N,0,500.0
203836,RALEIGH-DURHAM INTL,> 1000 ft,B-737-200,1,none,2000-02-24,Caused damage,DELTA AIR LINES,North Carolina,Approach,none,No Cloud,Unknown bird - large,N,0,2300.0
200488,KAPALUA ARPT,< 1000 ft,DHC8 DASH 8,1,none,2000-02-25,No damage,ISLAND AIR,Hawaii,Take-off run,none,No Cloud,Unknown bird - small,N,0,0.0
203446,SALT LAKE CITY INTL,< 1000 ft,B-737-200,1,none,2000-02-25,No damage,AMERICA WEST AIRLINES,Utah,Take-off run,none,Some Cloud,Unknown bird - small,N,0,0.0
201109,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,EMB-135,1,none,2000-02-25,No damage,AMERICAN EAGLE AIRLINES,Texas,Climb,none,Some Cloud,Unknown bird - medium,N,0,50.0
201050,FORT SMITH MUNICIPAL ARPT,< 1000 ft,SAAB-340,1,none,2000-02-25,No damage,AMERICAN EAGLE AIRLINES,Arkansas,Climb,none,Overcast,European starling,N,0,50.0
203074,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,FOKKER F100,1,none,2000-02-25,No damage,AMERICAN AIRLINES,Texas,Landing Roll,none,Overcast,Unknown bird - small,Y,0,0.0
204941,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,MD-80,1,none,2000-02-26,No damage,DELTA AIR LINES,Kentucky,Climb,none,Some Cloud,American kestrel,Y,0,100.0
204965,SARASOTA-BRADENTON,> 1000 ft,MERLIN IV,1,none,2000-02-26,Caused damage,BUSINESS,Florida,Climb,none,No Cloud,Unknown bird - large,N,0,1600.0
203775,SITKA ROCKY GUTIERREZ ARPT,< 1000 ft,B-737-400,1,none,2000-02-26,Caused damage,ALASKA AIRLINES,Alaska,Landing Roll,none,Overcast,Bald eagle,N,0,0.0
209771,MEMPHIS INTL,< 1000 ft,DC-10,1,none,2000-02-26,No damage,FEDEX EXPRESS,Tennessee,Approach,none,No Cloud,Unknown bird - small,N,0,500.0
200022,DALLAS/FORT WORTH INTL ARPT,> 1000 ft,ATR-72,1,none,2000-02-28,Caused damage,AMERICAN EAGLE AIRLINES,Texas,Approach,none,No Cloud,Unknown bird - small,Y,0,2000.0
200152,BERZ-MACOMB ARPT,< 1000 ft,C-172,1,none,2000-02-28,Caused damage,BUSINESS,Michigan,Landing Roll,none,No Cloud,White-tailed deer,N,412,0.0
201265,ST. PAUL DOWNTOWN ARPT,> 1000 ft,PA-34 SENECA,1,none,2000-02-28,Caused damage,BUSINESS,Minnesota,Approach,none,Some Cloud,Snow goose,N,0,2300.0
204256,LOS ANGELES INTL,< 1000 ft,B-757-200,1,none,2000-02-29,No damage,AMERICAN AIRLINES,California,Approach,none,Some Cloud,Unknown bird - medium,N,0,1000.0
202535,METRO OAKLAND INTL,< 1000 ft,DC-10,1,none,2000-02-29,No damage,OMNI AIR INTL,California,Take-off run,Rain,Some Cloud,Canada goose,Y,0,0.0
202861,FLYING CLOUD ARPT,< 1000 ft,C-182 SKYLAN,1,Precautionary Landing,2000-03-02,No damage,PRIVATELY OWNED,Minnesota,Climb,none,No Cloud,Unknown bird - medium,N,0,75.0
201091,SOUTHWEST MINNESOTA REGIONAL ARPT,> 1000 ft,BE-300 KING,1,none,2000-03-02,Caused damage,BUSINESS,Minnesota,Descent,none,No Cloud,Canada goose,N,526529,3000.0
200711,PHOENIX SKY HARBOR,< 1000 ft,B-737-300,1,none,2000-03-05,No damage,AMERICA WEST AIRLINES,Arizona,Take-off run,none,No Cloud,European starling,N,0,0.0
200712,HONOLULU INTL ARPT,< 1000 ft,DC-10,1,none,2000-03-05,No damage,HAWAIIAN AIR,Hawaii,Climb,none,No Cloud,Unknown bird - small,N,0,10.0
201864,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,DC-9,1,none,2000-03-05,No damage,ABX AIR,Alabama,Approach,none,No Cloud,Unknown bird - small,N,0,30.0
200440,OWENSBORO-DAVIESS,< 1000 ft,C-560,1,Precautionary Landing,2000-03-06,No damage,EXECUTIVE JET AVIATION,Kentucky,Climb,none,No Cloud,Unknown bird - medium,N,2908,100.0
200339,LAMBERT-ST LOUIS INTL,> 1000 ft,MD-80,1,none,2000-03-06,Caused damage,TRANS WORLD AIRLINES,Missouri,Approach,none,No Cloud,Unknown bird - small,Y,0,1500.0
201825,LOS ANGELES INTL,< 1000 ft,SAAB-340,1,none,2000-03-07,No damage,AMERICAN EAGLE AIRLINES,California,Approach,none,No Cloud,Unknown bird - small,N,0,500.0
201169,LIHUE ARPT,< 1000 ft,B-737-200,1,none,2000-03-07,No damage,ALOHA AIRLINES,Hawaii,Landing Roll,none,Some Cloud,Short-eared owl,Y,0,0.0
201982,NEWARK LIBERTY INTL ARPT,> 1000 ft,BE-1900,1,none,2000-03-07,Caused damage,COMMUTAIR,New Jersey,Approach,none,Some Cloud,Canada goose,Y,0,2000.0
200662,ADAMS FIELD ARPT,< 1000 ft,ATR-42,1,none,2000-03-08,No damage,EXPRESSJET CONTINENTAL EXPRS,Arkansas,Climb,none,Overcast,Unknown bird - medium,N,0,700.0
208496,NEW ORLEANS INTL,> 1000 ft,B-727,1,none,2000-03-08,Caused damage,FEDEX EXPRESS,Louisiana,Approach,none,Some Cloud,Unknown bird - small,N,0,5000.0
204682,SAN FRANCISCO INTL ARPT,< 1000 ft,MD-80,1,Other,2000-03-08,Caused damage,AMERICAN AIRLINES,California,Approach,Rain,No Cloud,Unknown bird - medium,N,0,300.0
201963,RONALD REAGAN WASHINGTON NATL,> 1000 ft,CITATION II,1,none,2000-03-08,Caused damage,BUSINESS,DC,Climb,none,No Cloud,Unknown bird - medium,N,151009,1500.0
208525,JACKSONVILLE INTL,< 1000 ft,BE-400 BJET,1,Precautionary Landing,2000-03-09,Caused damage,BUSINESS,Florida,Climb,none,No Cloud,Unknown bird - medium,Y,0,1000.0
203551,MONTGOMERY REGIONAL ARPT,< 1000 ft,C-172,1,Precautionary Landing,2000-03-10,No damage,BUSINESS,Alabama,Climb,none,No Cloud,Unknown bird - small,N,0,400.0
202561,MCCARREN INTL,< 1000 ft,A-319,1,none,2000-03-10,No damage,AMERICA WEST AIRLINES,Nevada,Landing Roll,none,No Cloud,Unknown bird - small,N,0,0.0
200482,FORT LAUDERDALE/HOLLYWOOD INTL,< 1000 ft,L-1011,1,none,2000-03-10,No damage,DELTA AIR LINES,Florida,Approach,none,Some Cloud,Turkey vulture,Y,0,400.0
205462,ATLANTIC CITY INTL,< 1000 ft,DC-9,1,none,2000-03-10,No damage,SPIRIT AIRLINES,New Jersey,Take-off run,none,No Cloud,Eastern meadowlark,Y,0,0.0
201569,ABERDEEN REGIONAL AR,< 1000 ft,SAAB-340,1,none,2000-03-11,No damage,MESABA AIRLINES,South Dakota,Approach,Snow,Overcast,Unknown bird - small,Y,0,500.0
200524,LAGUARDIA NY,> 1000 ft,MD-80,1,none,2000-03-14,No damage,US AIRWAYS,New York,Approach,none,Overcast,Unknown bird - medium,N,0,4000.0
202789,NEWARK LIBERTY INTL ARPT,> 1000 ft,A-300,1,none,2000-03-14,No damage,AMERICAN AIRLINES,New Jersey,Approach,none,No Cloud,Unknown bird - medium,N,0,5000.0
201324,LAGUARDIA NY,> 1000 ft,FOKKER F28 MK 1000,1,none,2000-03-14,No damage,CANADIAN REGIONAL AIRLINES,New York,Approach,none,Some Cloud,Unknown bird - medium,N,0,2000.0
203957,FORT WAYNE INTL,< 1000 ft,DORNIER 328,1,none,2000-03-15,No damage,AIR WISCONSIN AIRLINES,Indiana,Taxi,Fog,Overcast,Canada goose,N,0,0.0
200525,KAHULUI ARPT,< 1000 ft,DC-9-50,1,none,2000-03-15,No damage,HAWAIIAN AIR,Hawaii,Approach,none,No Cloud,Upland sandpiper,N,0,100.0
203408,BEMIDJI REGIONAL ARPT,< 1000 ft,SAAB-340,1,none,2000-03-17,No damage,MESABA AIRLINES,Minnesota,Take-off run,none,No Cloud,Unknown bird - small,N,0,0.0
202421,LAMBERT-ST LOUIS INTL,< 1000 ft,MD-80,1,none,2000-03-18,No damage,TRANS WORLD AIRLINES,Missouri,Landing Roll,none,Some Cloud,Unknown bird - small,Y,0,0.0
201461,KETCHIKAN INTL ARPT,< 1000 ft,B-737-400,1,none,2000-03-18,No damage,ALASKA AIRLINES,Alaska,Landing Roll,none,Overcast,Bald eagle,N,0,0.0
204509,SOUTHWEST FLORIDA INTL ARPT,< 1000 ft,MD-82,1,none,2000-03-19,No damage,CONTINENTAL AIRLINES,Florida,Take-off run,none,Some Cloud,Turkey vulture,Y,0,0.0
201744,WASHINGTON DULLES INTL ARPT,< 1000 ft,BE-1900,1,none,2000-03-21,No damage,COMMUTAIR,DC,Approach,none,Some Cloud,Ring-billed gull,Y,0,100.0
201043,RALEIGH-DURHAM INTL,< 1000 ft,VOLPARE BE18,1,none,2000-03-21,No damage,BUSINESS,North Carolina,Climb,none,Overcast,Unknown bird - small,Y,0,150.0
200104,PALM SPRINGS INTL,< 1000 ft,SAAB-340,1,none,2000-03-22,No damage,AMERICAN EAGLE AIRLINES,California,Approach,none,No Cloud,Unknown bird - small,N,0,1000.0
200028,DES MOINES INTL,> 1000 ft,B-727,1,none,2000-03-22,No damage,UNITED AIRLINES,Iowa,Approach,none,No Cloud,Unknown bird - large,Y,0,3000.0
201686,DES MOINES INTL,> 1000 ft,SAAB-340,1,none,2000-03-22,No damage,MESABA AIRLINES,Iowa,Approach,none,Overcast,Unknown bird - medium,Y,0,2000.0
204621,GEORGE BUSH INTERCONTINENTAL,> 1000 ft,B-727,1,none,2000-03-22,No damage,AMERICAN AIRLINES,Texas,Descent,none,Some Cloud,Unknown bird - medium,N,0,7000.0
202399,FORT SMITH MUNICIPAL ARPT,< 1000 ft,C-172,1,Precautionary Landing,2000-03-23,No damage,BUSINESS,Arkansas,Climb,none,Some Cloud,Unknown bird - medium,N,0,300.0
200376,LORAIN COUNTY REGIONAL ARPT,< 1000 ft,CITATION II,1,none,2000-03-23,No damage,BUSINESS,Ohio,Landing Roll,none,No Cloud,Unknown bird - small,N,5079,0.0
200131,BIRMINGHAM-SHUTTLESWORTH INTL,> 1000 ft,DC-9-30,1,none,2000-03-23,No damage,NORTHWEST AIRLINES,Alabama,Approach,none,Some Cloud,Unknown bird - large,N,134,3000.0
201097,BIRMINGHAM-SHUTTLESWORTH INTL,< 1000 ft,B-757-200,1,none,2000-03-23,Caused damage,DELTA AIR LINES,Alabama,Approach,none,No Cloud,Unknown bird - small,N,0,300.0
203348,PORT COLUMBUS INTL,< 1000 ft,B-737-200,1,none,2000-03-23,No damage,DELTA AIR LINES,Ohio,Approach,none,No Cloud,Unknown bird - small,N,0,1000.0
203120,GREATER ROCKFORD,< 1000 ft,SAAB-340,1,none,2000-03-23,No damage,MESABA AIRLINES,Illinois,Approach,none,Overcast,Meadowlarks,N,0,5.0
201099,DETROIT METRO WAYNE COUNTY ARPT,< 1000 ft,SAAB-340,1,none,2000-03-24,No damage,MESABA AIRLINES,Michigan,Climb,none,No Cloud,Unknown bird - small,N,0,500.0
200270,SPIRIT OF ST LOUIS,< 1000 ft,DA-900,1,none,2000-03-24,No damage,BUSINESS,Missouri,Take-off run,none,Some Cloud,Unknown bird - small,N,0,0.0
200373,TOLEDO EXPRESS ARPT,< 1000 ft,DC-8-61,1,none,2000-03-25,No damage,AIR TRANSPORT INTL,Ohio,Climb,none,No Cloud,Unknown bird - large,N,0,50.0
202323,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,1,none,2000-03-25,No damage,AMERICAN AIRLINES,Texas,Climb,Fog,No Cloud,Unknown bird - small,N,0,10.0
202563,NASHVILLE INTL,< 1000 ft,DC-9-30,1,none,2000-03-26,No damage,NORTHWEST AIRLINES,Tennessee,Landing Roll,none,No Cloud,Red-tailed hawk,Y,0,0.0
200216,SPENCER MUNICIPAL AIRPORT,< 1000 ft,BE-1900,1,none,2000-03-26,Caused damage,GREAT LAKES AIRLINES,Iowa,Approach,none,No Cloud,Unknown bird - large,N,0,450.0
210904,VANCOUVER INTL,> 1000 ft,DHC8 DASH 8,1,none,2000-03-29,No damage,HORIZON AIR,British Columbia,Descent,none,Some Cloud,Unknown bird - small,N,0,3000.0
205262,GREATER PORTSMOUTH REGIONAL ARPT,< 1000 ft,C-650,1,none,2000-03-29,Caused damage,EXECUTIVE JET AVIATION,Ohio,Climb,none,Overcast,Unknown bird - medium,N,4188,400.0
204584,TOCUMEN INTL,< 1000 ft,B-737-800,1,none,2000-03-29,Caused damage,AMERICAN AIRLINES,California,Approach,none,No Cloud,Unknown bird - large,Y,0,50.0
210705,MCCARREN INTL,< 1000 ft,B-737-500,1,none,2000-03-29,No damage,SOUTHWEST AIRLINES,Nevada,Approach,none,Some Cloud,Unknown bird - small,N,0,200.0
203654,WASHINGTON DULLES INTL ARPT,< 1000 ft,B-767-200,1,Precautionary Landing,2000-03-29,Caused damage,AMERICAN AIRLINES,DC,Take-off run,none,Some Cloud,Bonaparte's gull,Y,0,0.0
210726,CLEVELAND-HOPKINS INTL ARPT,> 1000 ft,FOKKER F100,1,none,2000-03-29,Caused damage,US AIRWAYS,Ohio,Approach,none,Some Cloud,Canada goose,N,44100,2500.0
200267,TOMPKINS COUNTY ARPT,< 1000 ft,DC-9-30,1,none,2000-03-30,No damage,US AIRWAYS,New York,Approach,Snow,Overcast,Unknown bird - medium,N,0,300.0
201158,ORLANDO INTL,> 1000 ft,B-737-200,1,none,2000-03-30,No damage,US AIRWAYS,Florida,Climb,none,Some Cloud,Unknown bird - medium,N,0,7000.0
203198,RENTON MUNICIPAL ARPT,< 1000 ft,C-150,1,Engine Shut Down,2000-03-30,Caused damage,PRIVATELY OWNED,Washington,Approach,none,No Cloud,Unknown bird - medium,N,0,30.0
207672,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,B-757-200,1,none,2000-03-31,No damage,AMERICAN AIRLINES,Texas,Approach,none,Overcast,European starling,N,0,200.0
204898,ST. PAUL DOWNTOWN ARPT,< 1000 ft,BE-200 KING,1,none,2000-03-31,Caused damage,GOVERNMENT,Minnesota,Approach,none,Some Cloud,Canada goose,Y,0,2.0
202166,GREGG COUNTY ARPT,> 1000 ft,SAAB-340,1,none,2000-03-31,No damage,AMERICAN EAGLE AIRLINES,Texas,Approach,none,Some Cloud,Unknown bird - medium,N,0,1200.0
201250,DALLAS/FORT WORTH INTL ARPT,> 1000 ft,SAAB-340,1,none,2000-03-31,Caused damage,AMERICAN EAGLE AIRLINES,Texas,Approach,none,Overcast,Unknown bird - medium,N,0,3000.0
201378,LEWISTON-NEZ PERCE CO ARPT,< 1000 ft,C-150,1,Precautionary Landing,2000-04-01,No damage,PRIVATELY OWNED,Idaho,Climb,none,No Cloud,Ring-necked pheasant,Y,0,50.0
202734,LOS ANGELES INTL,< 1000 ft,L-1011,1,none,2000-04-02,No damage,DELTA AIR LINES,California,Climb,none,No Cloud,Unknown bird - medium,N,0,1000.0
206267,DETROIT METRO WAYNE COUNTY ARPT,> 1000 ft,SAAB-340,1,Precautionary Landing,2000-04-03,Caused damage,MESABA AIRLINES,Michigan,Climb,Rain,Overcast,Unknown bird - large,Y,100228,2400.0
202018,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,MD-80,1,none,2000-04-04,No damage,AMERICAN AIRLINES,Texas,Approach,none,No Cloud,Unknown bird - medium,Y,0,300.0
202033,MYRTLE BEACH INTL,< 1000 ft,LEARJET-35,1,none,2000-04-05,No damage,BUSINESS,South Carolina,Landing Roll,none,No Cloud,Unknown bird - small,N,0,0.0
200228,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,B-727,1,none,2000-04-05,No damage,ASTAR AIR CARGO,Kentucky,Approach,none,No Cloud,Unknown bird - medium,Y,0,300.0
200207,FORT WAYNE INTL,> 1000 ft,AVRO RJ 85,1,none,2000-04-05,No damage,MESA AIRLINES,Indiana,Descent,none,No Cloud,Unknown bird - small,N,0,1800.0
200208,LOS ANGELES INTL,> 1000 ft,B-737-200,1,none,2000-04-05,Caused damage,SOUTHWEST AIRLINES,California,Descent,none,Some Cloud,Unknown bird - medium,N,0,6000.0
204593,PORTLAND INTL (OR),< 1000 ft,B-767-300,1,none,2000-04-05,No damage,DELTA AIR LINES,Oregon,Landing Roll,none,Overcast,Northern harrier,Y,0,0.0
200631,IGOR I SIKORSKY MEMORIAL,< 1000 ft,CITATION II,1,none,2000-04-06,No damage,BUSINESS,Connecticut,Approach,none,No Cloud,Unknown bird - small,N,0,50.0
202564,TYLER POUNDS FIELD,> 1000 ft,SAAB-340,1,none,2000-04-06,No damage,AMERICAN EAGLE AIRLINES,Texas,Approach,none,No Cloud,Unknown bird - small,N,0,1500.0
200011,PORTLAND INTL (OR),< 1000 ft,DC-8,1,none,2000-04-06,No damage,ABX AIR,Oregon,Landing Roll,Rain,Overcast,Mallard,Y,0,0.0
